Received machine_code: 
Received machine_code: 
Received machine_code: 
Received machine_code: 
Received machine_code: 
Received machine_code: 
Received machine_code: 
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 2222
Fetched rows: 1
Received machine_code: 1211
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 2111
Fetched rows: 1
Received machine_code: 2121
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 2222
Fetched rows: 1
Received machine_code: 3333
Fetched rows: 0
Received machine_code: 2122
Fetched rows: 1
Received machine_code: 1211
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 0101
Fetched rows: 0
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
Received machine_code: 1111
Fetched rows: 1
